Data,Comarcacodi,Comarca,Sexecodi,Sexedescripcio,Test,Numcasos,Provincia
2021-01-01,40.0,VALLES OCCIDENTAL,0.0,Home,Positiu TAR,24,Barcelona
2021-01-01,40.0,VALLES OCCIDENTAL,1.0,Dona,Positiu PCR,37,Barcelona
2021-01-01,40.0,VALLES OCCIDENTAL,1.0,Dona,Positiu TAR,32,Barcelona
2021-01-01,40.0,VALLES OCCIDENTAL,1.0,Dona,Positiu per ELISA,1,Barcelona
2021-01-01,41.0,VALLES ORIENTAL,0.0,Home,Positiu PCR,3,Barcelona
2021-01-01,41.0,VALLES ORIENTAL,0.0,Home,Positiu TAR,12,Barcelona
2021-01-01,41.0,VALLES ORIENTAL,1.0,Dona,Positiu PCR,7,Barcelona
2021-01-01,41.0,VALLES ORIENTAL,1.0,Dona,Positiu TAR,10,Barcelona
2021-02-01,1.0,ALT CAMP,0.0,Home,Positiu PCR,2,Tarragona
2021-02-01,1.0,ALT CAMP,0.0,Home,Positiu TAR,6,Tarragona
2021-02-01,1.0,ALT CAMP,1.0,Dona,Positiu PCR,2,Tarragona
2021-02-01,1.0,ALT CAMP,1.0,Dona,Positiu TAR,6,Tarragona
2021-02-01,2.0,ALT EMPORDA,0.0,Home,Positiu PCR,7,Girona
2021-02-01,2.0,ALT EMPORDA,0.0,Home,Positiu TAR,17,Girona
2021-02-01,2.0,ALT EMPORDA,1.0,Dona,PCR probable,1,Girona
2021-02-01,2.0,ALT EMPORDA,1.0,Dona,Positiu PCR,10,Girona
2021-02-01,2.0,ALT EMPORDA,1.0,Dona,Positiu TAR,28,Girona
2021-02-01,2.0,ALT EMPORDA,1.0,Dona,Positiu per Test Ràpid,1,Girona
2021-02-01,3.0,ALT PENEDES,0.0,Home,PCR probable,1,Barcelona
2021-02-01,3.0,ALT PENEDES,0.0,Home,Positiu PCR,12,Barcelona
2021-02-01,3.0,ALT PENEDES,0.0,Home,Positiu TAR,5,Barcelona
2021-02-01,3.0,ALT PENEDES,1.0,Dona,PCR probable,1,Barcelona
2021-02-01,3.0,ALT PENEDES,1.0,Dona,Positiu PCR,16,Barcelona
2021-02-01,3.0,ALT PENEDES,1.0,Dona,Positiu TAR,11,Barcelona
2021-02-01,3.0,ALT PENEDES,1.0,Dona,Positiu per ELISA,1,Barcelona
2021-02-01,4.0,ALT URGELL,0.0,Home,Positiu PCR,4,Lleida
2021-02-01,4.0,ALT URGELL,1.0,Dona,Positiu TAR,3,Lleida
2021-02-01,6.0,ANOIA,0.0,Home,Positiu PCR,10,Barcelona
2021-02-01,6.0,ANOIA,0.0,Home,Positiu TAR,4,Barcelona
2021-02-01,6.0,ANOIA,1.0,Dona,Positiu PCR,4,Barcelona
2021-02-01,6.0,ANOIA,1.0,Dona,Positiu TAR,4,Barcelona
2021-02-01,7.0,BAGES,0.0,Home,Positiu PCR,20,Barcelona
2021-02-01,7.0,BAGES,0.0,Home,Positiu TAR,16,Barcelona
2021-02-01,7.0,BAGES,1.0,Dona,Positiu PCR,22,Barcelona
2021-02-01,7.0,BAGES,1.0,Dona,Positiu TAR,9,Barcelona
2021-02-01,7.0,BAGES,1.0,Dona,Positiu per ELISA,2,Barcelona
2021-02-01,8.0,BAIX CAMP,0.0,Home,Positiu PCR,21,Tarragona
2021-02-01,8.0,BAIX CAMP,0.0,Home,Positiu TAR,15,Tarragona
2021-02-01,8.0,BAIX CAMP,0.0,Home,Positiu per ELISA,1,Tarragona
2021-02-01,8.0,BAIX CAMP,1.0,Dona,Positiu PCR,15,Tarragona
2021-02-01,8.0,BAIX CAMP,1.0,Dona,Positiu TAR,11,Tarragona
2021-02-01,8.0,BAIX CAMP,1.0,Dona,Positiu per ELISA,1,Tarragona
2021-02-01,9.0,BAIX EBRE,0.0,Home,Positiu PCR,4,Tarragona
2021-02-01,9.0,BAIX EBRE,0.0,Home,Positiu TAR,6,Tarragona
2021-02-01,9.0,BAIX EBRE,1.0,Dona,Positiu PCR,3,Tarragona
2021-02-01,9.0,BAIX EBRE,1.0,Dona,Positiu TAR,7,Tarragona
2021-02-01,10.0,BAIX EMPORDA,0.0,Home,PCR probable,1,Girona
2021-02-01,10.0,BAIX EMPORDA,0.0,Home,Positiu PCR,9,Girona
2021-02-01,10.0,BAIX EMPORDA,0.0,Home,Positiu TAR,6,Girona
2021-02-01,10.0,BAIX EMPORDA,1.0,Dona,Positiu PCR,14,Girona
2021-02-01,10.0,BAIX EMPORDA,1.0,Dona,Positiu TAR,8,Girona
2021-02-01,11.0,BAIX LLOBREGAT,0.0,Home,PCR probable,3,Barcelona
2021-02-01,11.0,BAIX LLOBREGAT,0.0,Home,Positiu PCR,90,Barcelona
2021-02-01,11.0,BAIX LLOBREGAT,0.0,Home,Positiu TAR,92,Barcelona
2021-02-01,11.0,BAIX LLOBREGAT,0.0,Home,Positiu per ELISA,1,Barcelona
2021-02-01,11.0,BAIX LLOBREGAT,1.0,Dona,PCR probable,7,Barcelona
2021-02-01,11.0,BAIX LLOBREGAT,1.0,Dona,Positiu PCR,92,Barcelona
2021-02-01,11.0,BAIX LLOBREGAT,1.0,Dona,Positiu TAR,91,Barcelona
2021-02-01,11.0,BAIX LLOBREGAT,1.0,Dona,Positiu per ELISA,1,Barcelona
2021-02-01,12.0,BAIX PENEDES,0.0,Home,Positiu PCR,3,Tarragona
2021-02-01,12.0,BAIX PENEDES,0.0,Home,Positiu TAR,5,Tarragona
2021-02-01,12.0,BAIX PENEDES,1.0,Dona,Positiu PCR,3,Tarragona
2021-02-01,12.0,BAIX PENEDES,1.0,Dona,Positiu TAR,5,Tarragona
2021-02-01,13.0,BARCELONES,0.0,Home,PCR probable,5,Barcelona
2021-02-01,13.0,BARCELONES,0.0,Home,Positiu PCR,256,Barcelona
2021-02-01,13.0,BARCELONES,0.0,Home,Positiu TAR,317,Barcelona
2021-02-01,13.0,BARCELONES,0.0,Home,Positiu per ELISA,5,Barcelona
2021-02-01,13.0,BARCELONES,0.0,Home,Positiu per Test Ràpid,3,Barcelona
2021-02-01,13.0,BARCELONES,1.0,Dona,PCR probable,7,Barcelona
2021-02-01,13.0,BARCELONES,1.0,Dona,Positiu PCR,297,Barcelona
2021-02-01,13.0,BARCELONES,1.0,Dona,Positiu TAR,340,Barcelona
2021-02-01,13.0,BARCELONES,1.0,Dona,Positiu per ELISA,5,Barcelona
2021-02-01,13.0,BARCELONES,1.0,Dona,Positiu per Test Ràpid,3,Barcelona
2021-02-01,14.0,BERGUEDA,0.0,Home,Positiu PCR,1,Lleida
2021-02-01,14.0,BERGUEDA,0.0,Home,Positiu TAR,2,Lleida
2021-02-01,14.0,BERGUEDA,0.0,Home,Positiu per ELISA,1,Lleida
2021-02-01,14.0,BERGUEDA,1.0,Dona,Positiu PCR,2,Lleida
2021-02-01,14.0,BERGUEDA,1.0,Dona,Positiu TAR,5,Lleida
2021-02-01,17.0,GARRAF,0.0,Home,Positiu PCR,18,Barcelona
2021-02-01,17.0,GARRAF,0.0,Home,Positiu TAR,13,Barcelona
2021-02-01,17.0,GARRAF,1.0,Dona,Positiu PCR,24,Barcelona
2021-02-01,17.0,GARRAF,1.0,Dona,Positiu TAR,10,Barcelona
2021-02-01,18.0,GARRIGUES,0.0,Home,Positiu PCR,2,Lleida
2021-02-01,18.0,GARRIGUES,1.0,Dona,Positiu PCR,1,Lleida
2021-02-01,18.0,GARRIGUES,1.0,Dona,Positiu TAR,1,Lleida
2021-02-01,19.0,GARROTXA,0.0,Home,Positiu PCR,24,Girona
2021-02-01,19.0,GARROTXA,0.0,Home,Positiu TAR,34,Girona
2021-02-01,19.0,GARROTXA,1.0,Dona,Positiu PCR,19,Girona
2021-02-01,19.0,GARROTXA,1.0,Dona,Positiu TAR,29,Girona
2021-02-01,20.0,GIRONES,0.0,Home,Positiu PCR,18,Girona
2021-02-01,20.0,GIRONES,0.0,Home,Positiu TAR,14,Girona
2021-02-01,20.0,GIRONES,1.0,Dona,Positiu PCR,17,Girona
2021-02-01,20.0,GIRONES,1.0,Dona,Positiu TAR,19,Girona
2021-02-01,21.0,MARESME,0.0,Home,PCR probable,1,Barcelona
2021-02-01,21.0,MARESME,0.0,Home,Positiu PCR,57,Barcelona
2021-02-01,21.0,MARESME,0.0,Home,Positiu TAR,47,Barcelona
2021-02-01,21.0,MARESME,1.0,Dona,PCR probable,1,Barcelona
2021-02-01,21.0,MARESME,1.0,Dona,Positiu PCR,81,Barcelona
2021-02-01,21.0,MARESME,1.0,Dona,Positiu TAR,47,Barcelona
2021-02-01,22.0,MONTSIA,0.0,Home,Positiu PCR,4,Tarragona
2021-02-01,22.0,MONTSIA,0.0,Home,Positiu TAR,4,Tarragona
2021-02-01,22.0,MONTSIA,1.0,Dona,Positiu PCR,4,Tarragona
2021-02-01,22.0,MONTSIA,1.0,Dona,Positiu TAR,8,Tarragona
2021-02-01,23.0,NOGUERA,0.0,Home,Positiu TAR,1,Lleida
2021-02-01,23.0,NOGUERA,1.0,Dona,Positiu PCR,1,Lleida
2021-02-01,23.0,NOGUERA,1.0,Dona,Positiu TAR,5,Lleida
2021-02-01,24.0,OSONA,0.0,Home,Positiu PCR,34,Girona
2021-02-01,24.0,OSONA,0.0,Home,Positiu TAR,28,Girona
2021-02-01,24.0,OSONA,0.0,Home,Positiu per Test Ràpid,1,Girona
2021-02-01,24.0,OSONA,1.0,Dona,Positiu PCR,46,Girona
2021-02-01,24.0,OSONA,1.0,Dona,Positiu TAR,36,Girona
2021-02-01,24.0,OSONA,1.0,Dona,Positiu per Test Ràpid,1,Girona
2021-02-01,25.0,PALLARS JUSSA,1.0,Dona,Positiu PCR,1,Lleida
2021-02-01,26.0,PALLARS SOBIRA,1.0,Dona,Positiu TAR,1,Lleida
2021-02-01,27.0,PLA D'URGELL,0.0,Home,Positiu PCR,7,Lleida
2021-02-01,27.0,PLA D'URGELL,0.0,Home,Positiu TAR,4,Lleida
2021-02-01,27.0,PLA D'URGELL,1.0,Dona,Positiu PCR,6,Lleida
2021-02-01,27.0,PLA D'URGELL,1.0,Dona,Positiu TAR,2,Lleida
2021-02-01,28.0,PLA DE L'ESTANY,0.0,Home,Positiu PCR,3,Girona
2021-02-01,28.0,PLA DE L'ESTANY,0.0,Home,Positiu TAR,7,Girona
2021-02-01,28.0,PLA DE L'ESTANY,1.0,Dona,Positiu PCR,2,Girona
2021-02-01,28.0,PLA DE L'ESTANY,1.0,Dona,Positiu TAR,2,Girona
2021-02-01,29.0,PRIORAT,0.0,Home,Positiu PCR,1,Tarragona
2021-02-01,29.0,PRIORAT,1.0,Dona,Positiu PCR,1,Tarragona
2021-02-01,30.0,RIBERA D'EBRE,0.0,Home,Positiu TAR,3,Tarragona
2021-02-01,30.0,RIBERA D'EBRE,1.0,Dona,Positiu PCR,1,Tarragona
2021-02-01,30.0,RIBERA D'EBRE,1.0,Dona,Positiu TAR,2,Tarragona
2021-02-01,31.0,RIPOLLES,0.0,Home,Positiu TAR,2,Girona
2021-02-01,31.0,RIPOLLES,1.0,Dona,Positiu TAR,3,Girona
2021-02-01,32.0,SEGARRA,0.0,Home,Positiu PCR,1,Lleida
2021-02-01,32.0,SEGARRA,0.0,Home,Positiu TAR,1,Lleida
2021-02-01,32.0,SEGARRA,1.0,Dona,Positiu TAR,2,Lleida
2021-02-01,33.0,SEGRIA,0.0,Home,Positiu PCR,33,Lleida
2021-02-01,33.0,SEGRIA,0.0,Home,Positiu TAR,19,Lleida
2021-02-01,33.0,SEGRIA,1.0,Dona,Positiu PCR,29,Lleida
2021-02-01,33.0,SEGRIA,1.0,Dona,Positiu TAR,17,Lleida
2021-02-01,34.0,SELVA,0.0,Home,Positiu PCR,6,Barcelona
2021-02-01,34.0,SELVA,0.0,Home,Positiu TAR,12,Barcelona
2021-02-01,34.0,SELVA,1.0,Dona,Positiu PCR,4,Barcelona
2021-02-01,34.0,SELVA,1.0,Dona,Positiu TAR,9,Barcelona
2021-02-01,35.0,SOLSONES,0.0,Home,Positiu PCR,6,Lleida
2021-02-01,35.0,SOLSONES,0.0,Home,Positiu TAR,1,Lleida
2021-02-01,35.0,SOLSONES,1.0,Dona,Positiu PCR,1,Lleida
2021-02-01,36.0,TARRAGONES,0.0,Home,Positiu PCR,15,Tarragona
2021-02-01,36.0,TARRAGONES,0.0,Home,Positiu TAR,34,Tarragona
2021-02-01,36.0,TARRAGONES,1.0,Dona,PCR probable,1,Tarragona
2021-02-01,36.0,TARRAGONES,1.0,Dona,Positiu PCR,23,Tarragona
2021-02-01,36.0,TARRAGONES,1.0,Dona,Positiu TAR,28,Tarragona
2021-02-01,38.0,URGELL,0.0,Home,Positiu PCR,9,Lleida
2021-02-01,38.0,URGELL,0.0,Home,Positiu TAR,2,Lleida
2021-02-01,38.0,URGELL,1.0,Dona,Positiu PCR,2,Lleida
2021-02-01,38.0,URGELL,1.0,Dona,Positiu TAR,11,Lleida
2021-02-01,39.0,VALL D'ARAN,0.0,Home,Positiu TAR,2,Lleida
2021-02-01,39.0,VALL D'ARAN,1.0,Dona,Positiu PCR,1,Lleida
2021-02-01,39.0,VALL D'ARAN,1.0,Dona,Positiu TAR,1,Lleida
2021-02-01,40.0,VALLES OCCIDENTAL,0.0,Home,PCR probable,1,Barcelona
2021-02-01,40.0,VALLES OCCIDENTAL,0.0,Home,Positiu PCR,87,Barcelona
2021-02-01,40.0,VALLES OCCIDENTAL,0.0,Home,Positiu TAR,94,Barcelona
2021-02-01,40.0,VALLES OCCIDENTAL,0.0,Home,Positiu per ELISA,1,Barcelona
2021-02-01,40.0,VALLES OCCIDENTAL,0.0,Home,Positiu per Test Ràpid,1,Barcelona
2021-02-01,40.0,VALLES OCCIDENTAL,1.0,Dona,PCR probable,1,Barcelona
2021-02-01,40.0,VALLES OCCIDENTAL,1.0,Dona,Positiu PCR,87,Barcelona
2021-02-01,40.0,VALLES OCCIDENTAL,1.0,Dona,Positiu TAR,94,Barcelona
2021-02-01,40.0,VALLES OCCIDENTAL,1.0,Dona,Positiu per Test Ràpid,1,Barcelona
2021-02-01,41.0,VALLES ORIENTAL,0.0,Home,Epidemiològic,1,Barcelona
2021-02-01,41.0,VALLES ORIENTAL,0.0,Home,Positiu PCR,51,Barcelona
2021-02-01,41.0,VALLES ORIENTAL,0.0,Home,Positiu TAR,37,Barcelona
2021-02-01,41.0,VALLES ORIENTAL,1.0,Dona,PCR probable,1,Barcelona
2021-02-01,41.0,VALLES ORIENTAL,1.0,Dona,Positiu PCR,47,Barcelona
2021-02-01,41.0,VALLES ORIENTAL,1.0,Dona,Positiu TAR,31,Barcelona
2021-02-01,41.0,VALLES ORIENTAL,1.0,Dona,Positiu per ELISA,3,Barcelona
2021-02-01,42.0,MOIANÈS,0.0,Home,Positiu PCR,3,Barcelona
2021-02-01,42.0,MOIANÈS,0.0,Home,Positiu TAR,1,Barcelona
2021-02-01,42.0,MOIANÈS,1.0,Dona,Positiu PCR,2,Barcelona
2021-02-01,42.0,MOIANÈS,1.0,Dona,Positiu TAR,1,Barcelona
2020-03-01,13.0,BARCELONES,1.0,Dona,Positiu PCR,1,Barcelona
2021-03-01,1.0,ALT CAMP,0.0,Home,Positiu PCR,2,Tarragona
2021-03-01,1.0,ALT CAMP,0.0,Home,Positiu TAR,2,Tarragona
2021-03-01,1.0,ALT CAMP,1.0,Dona,Positiu PCR,1,Tarragona
2021-03-01,1.0,ALT CAMP,1.0,Dona,Positiu TAR,2,Tarragona
2021-03-01,2.0,ALT EMPORDA,0.0,Home,PCR probable,1,Girona
2021-03-01,2.0,ALT EMPORDA,0.0,Home,Positiu PCR,6,Girona
2021-03-01,2.0,ALT EMPORDA,0.0,Home,Positiu TAR,7,Girona
2021-03-01,2.0,ALT EMPORDA,1.0,Dona,Positiu PCR,5,Girona
2021-03-01,2.0,ALT EMPORDA,1.0,Dona,Positiu TAR,5,Girona
2021-03-01,3.0,ALT PENEDES,0.0,Home,Positiu PCR,12,Barcelona
2021-03-01,3.0,ALT PENEDES,0.0,Home,Positiu TAR,1,Barcelona
2021-03-01,3.0,ALT PENEDES,1.0,Dona,Positiu PCR,7,Barcelona
2021-03-01,3.0,ALT PENEDES,1.0,Dona,Positiu TAR,6,Barcelona
2021-03-01,4.0,ALT URGELL,0.0,Home,Positiu PCR,6,Lleida
2021-03-01,4.0,ALT URGELL,1.0,Dona,Positiu PCR,1,Lleida
2021-03-01,4.0,ALT URGELL,1.0,Dona,Positiu TAR,1,Lleida
2021-03-01,5.0,ALTA RIBAGORÇA,0.0,Home,Positiu TAR,1,Lleida
2021-03-01,5.0,ALTA RIBAGORÇA,0.0,Home,Positiu per ELISA,1,Lleida
2021-03-01,6.0,ANOIA,0.0,Home,Positiu PCR,5,Barcelona
